acr_repo,ecr_repo,tag,in_acr,in_ecr,status
"419830066942.dkr.ecr.ap-south-1.amazonaws.com/phee-connector-ams-paygops","phee-connector-ams-paygops","v1.5.0",true,true,MATCH
"[SUMMARY]","419830066942.dkr.ecr.ap-south-1.amazonaws.com/phee-connector-ams-paygops","phee-connector-ams-paygops","ACR=1","ECR=1","MATCH=1 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"airbyte-ktb","airbyte-ktb","v1.1.5",true,true,MATCH
"[SUMMARY]","airbyte-ktb","airbyte-ktb","ACR=1","ECR=1","MATCH=1 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"airflow","airflow","2.9.3_20250210.445",true,true,MATCH
"airflow","airflow","2.9.3_20250210.446",true,true,MATCH
"airflow","airflow","2.9.3_20250210.447",true,true,MATCH
"airflow","airflow","2.9.3_20250210.448",true,true,MATCH
"airflow","airflow","2.9.3_20250211.449",true,true,MATCH
"airflow","airflow","2.9.3_20250211.450",true,true,MATCH
"airflow","airflow","2.9.3_20250318.452",true,true,MATCH
"airflow","airflow","2.9.3_20250320.453",true,true,MATCH
"airflow","airflow","2.9.3_20250326.454",true,true,MATCH
"airflow","airflow","2.9.3_20250327.455",true,true,MATCH
"airflow","airflow","2.9.3_20250327.456",true,true,MATCH
"airflow","airflow","2.9.3_20250327.457",true,true,MATCH
"airflow","airflow","2.9.3_20250327.458",true,true,MATCH
"airflow","airflow","2.9.3_20250327.459",true,true,MATCH
"airflow","airflow","2.9.3_20250430.460",true,true,MATCH
"airflow","airflow","2.9.3_20250512.461",true,true,MATCH
"airflow","airflow","2.9.3_20250512.462",true,true,MATCH
"airflow","airflow","2.9.3_20250512.463",true,true,MATCH
"airflow","airflow","2.9.3_20250513.465",true,true,MATCH
"airflow","airflow","2.9.3_20250513.467",true,true,MATCH
"airflow","airflow","2.9.3_20250513.468",true,true,MATCH
"airflow","airflow","2.9.3_20250513.469",true,true,MATCH
"airflow","airflow","2.9.3_20250513.470",true,true,MATCH
"airflow","airflow","2.9.3_20250513.471",true,true,MATCH
"airflow","airflow","2.9.3_20250513.473",true,true,MATCH
"airflow","airflow","2.9.3_20250513.475",true,true,MATCH
"airflow","airflow","2.9.3_20250513.476",true,true,MATCH
"airflow","airflow","2.9.3_20250513.478",true,true,MATCH
"airflow","airflow","2.9.3_20250821.480",true,true,MATCH
"airflow","airflow","2.9.3_20250821.481",true,true,MATCH
"airflow","airflow","2.9.3_20250821.482",true,true,MATCH
"airflow","airflow","2.9.3_20250822.483",true,true,MATCH
"airflow","airflow","2.9.3_20250822.484",true,true,MATCH
"airflow","airflow","2.9.3_20250822.485",true,true,MATCH
"airflow","airflow","2.9.3_20250822.486",true,true,MATCH
"airflow","airflow","2.9.3_20250822.487",true,true,MATCH
"airflow","airflow","2.9.3_20250822.488",true,true,MATCH
"airflow","airflow","2.9.3_20250825.490",true,true,MATCH
"airflow","airflow","2.9.3_20250826.491",true,true,MATCH
"airflow","airflow","2.9.3_20250826.492",true,true,MATCH
"airflow","airflow","2.9.3_20260306.493",true,true,MATCH
"airflow","airflow","2.9.3_20260306.494",true,true,MATCH
"airflow","airflow","2.9.3_20260306.495",true,true,MATCH
"airflow","airflow","2.9.3_20260306.496",true,true,MATCH
"airflow","airflow","2.9.3_20260306.497",true,true,MATCH
"airflow","airflow","2.9.3_20260306.498",true,true,MATCH
"airflow","airflow","2.9.3_20260306.499",true,true,MATCH
"airflow","airflow","2.9.3_20260307.500",true,true,MATCH
"airflow","airflow","2.9.3_20260307.501",true,true,MATCH
"airflow","airflow","2.9.3_20260312.502",true,true,MATCH
"airflow","airflow","2.9.3_20260312.504",true,true,MATCH
"airflow","airflow","2.9.3_20260312.505",true,true,MATCH
